id,label,mint_count_per_week,burn_count_per_week,mint_ratio,swap_ratio,burn_ratio,mint_mean_period,swap_mean_period,burn_mean_period,swap_in_per_week,swap_out_per_week,swap_rate,lp_avg,lp_std,lp_creator_holding_ratio,lp_lock_ratio,token_burn_ratio,token_creator_holding_ratio,number_of_token_creation_of_creator
0x0383eeb899e7fc0f4f696ebfcb5672ad7e0d271c,True,6.3208280061731195,9.130084897805617,0.017892644135188866,0.9562624254473161,0.02584493041749503,0.35731978950899734,0.3472360378072424,0.4159264763821761,261.26089092182224,76.55225029698555,3.381818181818182,16.66666667,37.2676366,0.999996355,-3.36e-13,0.0,0.691801174,1
0xf9c8100c95145baed19794745d30cb63cd98bca9,False,2.5150871963431434,0.0,0.07692307692307693,0.9230769230769231,0.0,0.1472728368120172,0.23884433614930448,0.0,17.605610374402,12.575435981715716,1.3461538461538463,16.66666667,9.880448664,1.06e-06,0.12616851,0.0,0.76427336,1
0x966ea83cf3170a309184bb742398c925249e407e,False,17.65649410824612,2.522356301178017,0.03365384615384615,0.9615384615384616,0.004807692307692308,0.3682203881975293,0.14701748420664593,0.5705571144578415,326.897376632671,177.5738836029324,1.8356940509915014,16.66666667,20.22009225,0.0,0.0,0.0,0.0,1
0x3c6b172f8cde6d997ebee486053244db242ad3ae,False,0.6437624337796455,0.0,0.2,0.8,0.0,0.0,0.7498513492113291,0.0,2.575049735118582,0.0,4.0,16.66666667,29.02071461,0.029851735,0.0,0.0,0.002994761,1
0x6d3a9f0f58d64a43d48479f7601113b5365e8d64,False,1.2903969122645313,0.6451984561322657,0.0019940179461615153,0.9970089730807578,0.0009970089730807576,0.2599898973498584,0.12828862309297445,1.0,406.4750273633274,238.7234287689383,1.6981132075471699,16.66666667,36.75095747,0.0,0.988400562,5.64e-11,2e-07,2
0xddbe1dfc668233bb882014838dae50def5ea967c,False,23.348842830382498,11.674421415191249,0.04983748645720477,0.9252437703141928,0.024918743228602384,0.035815573826372696,0.06679926644032669,0.1831734636833422,252.7766028158801,180.6997401655689,1.3949579831932772,20.0,15.93966139,0.0,0.0,0.000318516,0.215710306,1
0x3b083a810a8dee7c4d04a9ca24c59a86ce682963,False,64.8168153338066,53.409055835056634,0.10179153094462541,0.8143322475570033,0.08387622149837133,0.5660530233419521,0.3763400075503415,0.6416187647356312,335.49183616778294,183.04268650266982,1.8276836158192091,20.0,16.37341663,0.0,0.0,0.879008097,0.010649839,1
0x57802a619739e369bbde38ea1c695e7b16c57d57,False,44.56010765372964,10.243702908903366,0.07859078590785908,0.9033423667570009,0.018066847335140017,0.6426930869079881,0.6371880983919045,0.7835485735812633,287.8480517401846,224.33709370498372,1.2801822323462415,20.0,16.99699219,0.0,0.0,0.0,0.0,1
0xfb51a66e5684f2ed6027cc5816bcf7b720396f23,False,1.5003336555500522,0.0,0.25,0.75,0.0,0.5011901788328473,0.0842835189593255,0.0,4.501000966650156,0.0,9.0,20.0,18.1256008,0.533220891,-6.24e-17,0.0,0.994143907,1
0xadf1ede0a8363386173ec57394a3b633515290e6,False,7.50213354326958,0.0,0.11194029850746269,0.8880597014925373,0.0,0.13102690683854573,0.4168260386198499,0.0,48.51379691314329,11.003129196795385,4.217391304347826,20.0,18.36942009,0.156092685,3.34e-15,0.5,-0.000780988,1
0xe46b5cb8d9ff50195bfbcbc38731f82ab4ff4e00,False,6.708595387840671,1.6771488469601679,0.13186813186813187,0.8351648351648352,0.03296703296703297,0.15233441501270345,0.33223069118473236,0.25568720180447596,23.48008385744235,19.007686932215236,1.2,20.0,19.33487227,0.0,0.574926816,0.0,0.0,1
0x9eb369241e4270796e665ea1afac355cb99f0c32,False,0.7639151154903746,0.0,0.25,0.75,0.0,0.0,0.6688316899486921,0.0,1.5278302309807492,0.7639151154903746,1.0,20.0,22.10477969,0.007881613,-9.9e-12,0.0,1e-16,2
0xec9eb7af42207a8da12a04ee4b2f2b4b9cb43bd5,False,3.0499576815009743,0.5083262802501624,0.05,0.9416666666666667,0.008333333333333333,0.09490809197469345,0.21471588257516833,0.05937396899418278,27.44961913350877,29.99125053475958,0.9,20.0,22.53731217,0.646243753,-0.000253666,0.0,0.0,1
0x1965a114cc3341c0d2ba96a6361790b96ba8c20c,False,2.532203108815232,0.0,0.043859649122807015,0.956140350877193,0.0,0.16765040709718246,0.3720506873741341,0.0,46.08609658043722,9.115931191734836,4.7894736842105265,20.0,22.99549755,0.0,0.659214429,0.0,0.0,1
0x223aa7135935926ff316d30e5cf42ffe7a5e48db,False,7.005119482161235,0.500365677297231,0.1917808219178082,0.7945205479452054,0.0136986301369863,0.4118735055868697,0.33495883533471543,0.916248286185496,13.50987328702524,15.511335996214163,0.84375,20.0,23.94833738,0.57297684,-5.81e-13,0.851851667,0.4,1
0xafd0a72b8c67885e732e878b48ae84c6bec9ca51,False,1.0399740006499838,0.0,0.07142857142857142,0.9285714285714286,0.0,0.15016496329969586,0.20143254774263575,0.0,8.839779005524862,4.679883002924927,1.7,20.0,27.17228891,0.248160289,0.0,2.02e-25,0.279999998,1
0xaf7c6dead245b93de19bb1bb828b0acce94aefb3,False,67.70667724889826,0.5052737108126736,0.11806167400881057,0.8810572687224669,0.000881057268722467,0.17269219403048086,0.003482078777388441,0.0048566724363574955,405.22951607176424,100.04419474090938,4.030150753768845,20.0,28.26700708,0.0,0.7232692,0.29,0.00123684,1
0x9b3e5c1e8399c36494f02f899a9eb33d3327cb15,False,1.0068622456624015,0.0,0.003424657534246575,0.9965753424657534,0.0,0.3549574557962706,0.0938939512803492,0.0,170.66315063977706,122.33376284798177,1.389344262295082,20.0,29.85161211,0.015283597,0.780580971,4.35e-05,0.199492943,2
0x44f3d19613fd593c564a35837cbc20c6fe99dba7,False,2.2521658663558517,0.0,0.19047619047619047,0.8095238095238095,0.0,0.2956711819773908,0.22032912481943728,0.0,1.1260829331779258,8.445621998834444,0.125,20.0,31.06119807,0.812023241,7.2e-13,0.298701299,0.0,1
0xf0558913e37b168043b519af9376163f396d75b8,False,3.6072682160185847,1.2024227386728616,0.005952380952380952,0.9920634920634921,0.001984126984126984,0.2033905909978089,0.08125004673840701,0.3116492051978094,343.291691891102,257.91967744532883,1.327906976744186,20.0,32.73618007,0.0,0.020084711,0.903000027,0.041538589,1
0x05be782b93e4e4711ceda21bfe7f602bd6659f31,False,22.695186862542183,1.5130124575028123,0.35714285714285715,0.6190476190476191,0.023809523809523808,0.5189578682261182,0.4749014547516222,0.5677888683825794,16.643137032530934,22.695186862542183,0.717391304347826,20.0,33.05957006,0.0,0.0,0.0,0.0,2
0xc903faff45552ad11ed739ac300218ab4c036554,False,15.52238015127631,0.0,0.04223433242506812,0.9577656675749319,0.0,0.3188824918415537,0.37387572630070837,0.0,210.8039368931396,141.20358718257805,1.4876325088339222,20.0,34.84028004,0.896717082,5.38e-11,0.210081406,-0.007434663,1
0xcd4352cedb070c2bc03e1497f05285deb24f9176,False,4.520490948969245,1.5068303163230816,0.09473684210526316,0.8736842105263158,0.031578947368421054,0.17305032228353276,0.5554272613658549,0.4234153211071937,10.54781221426157,31.14115987067702,0.3333333333333333,20.0,36.93952618,0.0,0.0,0.056166976,0.000521559,1
0x8303f220b13196d3b5833e973c4062368087d681,False,5.853131686752935,8.194384361454109,0.009765625,0.9765625,0.013671875,0.2476656561484085,0.09231422683684448,0.15374580214845984,321.3369296027361,263.97623907255735,1.2146017699115044,20.0,38.64774306,0.0,0.972923221,0.538190576,0.0,1
0x689371e9f7833c1d6b33434dd6f121ef5a88a20b,False,0.5400004821432876,0.0,0.012658227848101266,0.9873417721518988,0.0,0.0,0.27177265483822755,0.0,23.760021214304654,18.360016392871778,1.2571428571428571,20.0,38.70784844,0.0,0.97409303,0.0,0.000471545,2
0xdd71c8d71bf8291e16535bdadbd44e54b7d9bee6,True,16.228821114917793,11.517227888006175,0.029439696106362774,0.949667616334283,0.020892687559354226,0.3821079134860975,0.3566718379299445,0.4943921464618023,273.2724071608738,250.23795138486145,1.0897703549060542,20.0,38.77312326,0.0,0.0,0.107213287,0.3375,1
0x62008a04401662689467f5ee5d57c4863adabfc0,False,1.0007073452216968,0.5003536726108484,0.004842615012106538,0.9927360774818402,0.002421307506053269,0.3392759274437242,0.26819660730695677,0.7180339269304324,133.59443058709653,71.55057518335133,1.8541666666666667,20.0,38.81127771,0.0,0.976074331,0.0,1.25e-16,1
